ticker,date,open,close,high,low,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
COF,2017-03-27,81.93,82.13,82.87,81.32,4282097,,,,,,,
COF,2017-03-28,82.01,84.17,84.63,81.9,3784720,,,,,,,
COF,2017-03-29,84.89,84.68,85.19,84.03,2488421,,,,,,,
COF,2017-03-30,84.82,87.14,87.26,84.52,4081656,,,,,,,
COF,2017-03-31,86.67,86.66,87.24,86.28,2661912,,,,,,,
COF,2017-04-03,86.88,85.8,86.91,84.67,3158771,,,,,,,
COF,2017-04-04,85.38,85.26,85.9,85.12,1840284,,,,,,,
COF,2017-04-05,86.58,84.13,86.62,83.98,2483680,,,,,,,
COF,2017-04-06,83.93,84.23,84.75,82.55,4378949,,,,,,,
COF,2017-04-07,83.25,83.54,84.33,82.79,2767335,,,,,,,
COF,2017-04-10,83.55,82.77,83.82,82.53,2463343,,,,,,,
COF,2017-04-11,82.4,83.09,83.11,81.62,2351190,,,,,,,
COF,2017-04-12,82.64,82.42,83.17,82.03,2317110,,,,,,,
COF,2017-04-13,82.05,81.02,82.96,80.9,3400095,,,,,,,
COF,2017-04-17,80.58,83,83.03,80.05,3759420,,,,,,,
COF,2017-04-18,82.55,81.9,83.22,81.16,3119402,,,,,,,
COF,2017-04-19,82.43,81.91,82.92,81.58,2157822,,,,,,,
COF,2017-04-20,82.33,83.72,84.05,82.33,2945338,,,,,,,
COF,2017-04-21,83.64,82.67,83.96,82.65,2524853,,,,,,,
COF,2017-04-24,84.63,84.68,85.05,84.14,2897655,,,,,,,
COF,2017-04-25,85.37,85.58,86.03,85.22,3080861,,,,,,,
COF,2017-04-26,82,83.06,84.26,81.99,7386158,,,,,,,
COF,2017-04-27,83.19,82.31,83.62,82.26,3604560,,,,,,,
COF,2017-04-28,81.43,80.38,82.17,79.91,6133211,,,,,,,
COF,2017-05-01,81.17,81.57,81.99,80.76,3543401,,,,,,,
COF,2017-05-02,81.58,82.46,82.47,80.97,3020580,,,,,,,
COF,2017-05-03,82.08,82.49,82.82,81.78,2451444,,,,,,,
COF,2017-05-04,83.02,82.49,83.21,82.17,3154418,,,,,,,
COF,2017-05-05,82.88,82.27,82.99,82,2269861,,,,,,,
COF,2017-05-08,82.34,82.12,82.41,81.84,1717675,,,,,,,
COF,2017-05-09,82.2,82.32,82.81,81.82,1832887,,,,,,,
COF,2017-05-10,82.02,81.67,82.44,81.53,2805572,,,,,,,
COF,2017-05-11,80.99,80.16,81.28,79.66,3741154,,,,,,,
COF,2017-05-12,79.83,79.4,80.36,78.69,3931119,,,,,,,
COF,2017-05-15,80.01,81.15,81.55,80.01,2479813,,,,,,,
COF,2017-05-16,81.31,80.69,81.42,80.56,1984035,,,,,,,
COF,2017-05-17,78.84,78.47,79.84,78.17,3145845,,,,,,,
COF,2017-05-18,78.46,79.27,80.14,78.34,4884650,,,,,,,
COF,2017-05-19,79.57,80.27,81.1,79.25,2781860,,,,,,,
COF,2017-05-22,80.73,79.63,80.93,79.28,2399851,,,,,,,
COF,2017-05-23,79.69,80.34,80.68,79.11,1995112,,,,,,,
COF,2017-05-24,80.35,79.92,80.35,79.75,1582276,,,,,,,
COF,2017-05-25,79.9,79.51,80.51,79.18,2117081,,,,,,,
COF,2017-05-26,79.5,79.79,80.11,79.08,2359637,,,,,,,
COF,2017-05-30,79.4,78.28,79.59,78.23,2351073,,,,,,,
COF,2017-05-31,78.39,76.92,78.39,76.05,4205013,,,,,,,
COF,2017-06-01,77.46,77.92,77.97,76.81,3295232,,,,,,,
COF,2017-06-02,77.42,78.04,78.34,76.91,2527770,,,,,,,
COF,2017-06-05,78.05,78.33,78.83,77.775,2017310,,,,,,,
COF,2017-06-06,77.77,78.27,78.43,77.1,2504527,,,,,,,
COF,2017-06-07,78.52,78.9,79.52,78.21,2442435,,,,,,,
COF,2017-06-08,78.92,79.42,80.16,78.79,2306510,,,,,,,
COF,2017-06-09,80.07,80.07,80.42,79.31,3476989,,,,,,,
COF,2017-06-12,80.15,80.17,80.96,79.61,2622110,,,,,,,
COF,2017-06-13,80.5,80.57,80.92,79.85,2690727,,,,,,,
COF,2017-06-14,79.46,80.09,80.2,78.46,2858385,,,,,,,
COF,2017-06-15,79.61,81.35,81.55,79.49,3854218,,,,,,,
COF,2017-06-16,81.46,81.31,81.65,80.93,3255538,,,,,,,
COF,2017-06-19,81.73,81.73,81.95,81.29,3225890,,,,,,,
